,code,name,address,주차장 종류명,운영구분명,telephone,총 주자면,유무료구분명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),"토요일 유,무료 구분명","공휴일 유,무료 구분명",월 정기권 금액,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),일 최대 요금,latitude,longitude
0,1010089,초안산근린공원주차장(구),도봉구 창동 24-0,노외 주차장,시간제 주차장,,71,유료,900,1900,900,1900,900,1900,무료,무료,0,0,,300,10,0,37.64927895,127.0404744
1,1012254,마들스타디움(근린공원)(구),노원구 상계동 770-2,노외 주차장,시간제 주차장,02-2289-6735,177,유료,0,2400,0,2400,0,2400,무료,무료,100000,150,5,150,5,11000,37.64391748,127.0585674
2,1013181,마장동(건물) 공영주차장(구),성동구 마장동 463-2,노외 주차장,시간제 주차장,02-2204-7970,54,유료,0,2400,0,2400,0,2400,무료,무료,50000,50,5,50,5,,37.56993875,127.0351452
3,1025695,영등포여고 공영(구),영등포구 신길동 184-3,노외 주차장,시간제 주차장,02-2677-1401,98,유료,0,2400,0,2400,0,2400,무료,무료,65000,50,5,50,5,0,37.51520496,126.915116
4,1025696,당산근린공원 공영(구),영등포구 당산동3가 385-0,노외 주차장,시간제 주차장,02-2677-1401,190,유료,0,2400,0,2400,0,2400,무료,무료,100000,150,5,150,5,0,37.52552609,126.8957941
5,1025697,대림운동장(구),영등포구 대림동 780-0,노외 주차장,시간제 주차장,02-2677-1401,192,유료,0,2400,0,2400,0,2400,무료,무료,65000,50,5,50,5,,37.49965667,126.8948384
6,1027845,휘경마을 공영주차장(구),동대문구 휘경동 308-32,노외 주차장,시간제 + 거주자 주차장,02-2247-9664~6,78,유료,900,1900,900,1900,900,1900,무료,무료,,1000,60,0,0,10000,37.5880691,127.0580933
7,1028036,중산공영주차장(구),동대문구 답십리동 23-3,노외 주차장,시간제 + 거주자 주차장,02-2247-9664~6,58,유료,900,1900,900,1900,900,1900,무료,무료,,1000,60,0,0,10000,37.56867158,127.0589207
8,1028245,방학동 도깨비시장 공영주차장(구),도봉구 방학동 632-1,노외 주차장,시간제 + 거주자 주차장,02-901-5100,81,유료,900,2200,900,2200,900,2200,무료,무료,0,100,5,100,5,0,37.6645806,127.0339057
9,1032247,은평평화공원(구),은평구 녹번동 153-1,노외 주차장,시간제 주차장,02-350-5183,143,유료,0,2400,0,2400,0,2400,무료,무료,120000,150,5,150,5,0,37.60573659,126.9231083
10,1033125,압구정 428 공영주차장(구),강남구 압구정동 428-0,노외 주차장,시간제 주차장,02-2176-0971,344,유료,900,2100,900,2100,900,2100,무료,무료,200000,400,5,400,5,,37.52701729,127.0264712
11,1033590,신림동공영주차장(구),관악구 신림동 1456-3,노외 주차장,시간제 + 거주자 주차장,02-2081-2675,191,유료,0,2400,0,2400,0,2400,무료,무료,0,250,5,250,5,0,37.48736246,126.9234342
12,1033754,포이초교 공영주차장(구),강남구 개포동 1273-0,노외 주차장,시간제 주차장,02-2176-0925,194,유료,0,2400,0,2400,0,2400,무료,무료,120000,200,5,200,5,,37.47564571,127.052365
13,1034344,수유2동 공영주차장(구),강북구 수유동 660-30,노외 주차장,시간제 주차장,02-900-7443,62,유료,0,2400,0,2400,0,2400,무료,무료,60000,150,5,150,5,10000,37.64603214,127.0219081
14,1034345,송중동(임시)공영주차장(구),강북구 미아동 860-123,노외 주차장,시간제 주차장,02-988-1283,6,유료,0,2400,0,2400,0,2400,무료,무료,100000,200,5,200,5,10000,37.61105539,127.0334978
15,1037569,바람개비주차장(구),양천구 목동 919-8,노외 주차장,시간제 주차장,02-2644-1386,186,유료,900,1900,0,0,0,0,유료,유료,70000,150,5,150,5,9000,37.53033824,126.8742749
16,1037932,구로디지털단지역 공영주차장(시),구로구 구로동 810-3,노외 주차장,시간제 주차장,02-2290-6034,93,유료,0,2400,0,2400,0,2400,무료,무료,140000,260,5,260,5,0,37.48543179,126.9012433
17,1040011,상계2동 공영주차장(구),노원구 상계동 373-13,노외 주차장,시간제 주차장,02-931-2758,108,유료,0,2400,0,2400,0,2400,무료,무료,100000,150,5,150,5,11000,37.6567376,127.067531
18,1040225,논현로22길(시),강남구 개포동 1266-0,노외 주차장,시간제 주차장,02-2176-0907,97,유료,0,2400,0,2400,0,2400,무료,무료,120000,200,5,200,5,,37.48150119,127.0478133
19,1041839,신당동 공영주차장(구),중구 신당동 300-6,노외 주차장,시간제 주차장,02-2280-8368,76,유료,0,2400,0,2400,0,2400,무료,무료,175000,200,5,200,5,0,37.56204618,127.0144272
20,1041840,남산동 공영주차장(구),중구 남산동2가 30-4,노외 주차장,시간제 주차장,02-2280-8368,48,유료,0,2400,0,0,0,0,유료,유료,240000,250,5,250,5,0,37.55923691,126.985624
21,1041948,충현어린이공원 공영주차장(구),중구 신당동 432-524,노외 주차장,시간제 주차장,02-2231-1444,22,무료,0,2400,0,2400,0,2400,무료,무료,140000,0,0,0,0,0,37.55208362,127.0051946
22,1041991,불암산 공영주차장(구),노원구 중계동 26-0,노외 주차장,시간제 주차장,,39,유료,0,0,0,0,0,0,유료,유료,100000,150,5,150,5,,37.66192599,127.0793403
23,1042402,역삼1문화센터 공영주차장(구),강남구 역삼동 829-20,노외 주차장,시간제 주차장,02-2176-0922,118,유료,0,2400,0,2400,0,2400,무료,무료,280000,400,5,400,5,,37.49534845,127.0332376
24,1042405,언북초교 공영주차장(구),강남구 청담동 27-0,노외 주차장,시간제 주차장,02-2176-0908,225,유료,0,2400,0,2400,0,2400,무료,무료,180000,300,5,300,5,,37.51999434,127.0456589
25,1042406,삼성1문화센터 공영주차장(구),강남구 삼성동 161-2,노외 주차장,시간제 주차장,02-2176-0910,70,유료,0,2400,0,2400,0,2400,무료,무료,280000,400,5,400,5,,37.51434435,127.0626519
26,1042410,논현초교 공영주차장(구),강남구 논현동 168-0,노외 주차장,시간제 주차장,02-2176-0943,192,유료,0,2400,0,2400,0,2400,무료,무료,180000,300,5,300,5,,37.50822463,127.0262625
27,1042421,언주초 공영주차장(구),강남구 도곡동 922-0,노외 주차장,시간제 주차장,02-2176-0929,191,유료,0,2400,0,2400,0,2400,무료,무료,120000,200,5,200,5,,37.48664435,127.0370504
28,1051018,연광초교지하공동주차장(구),은평구 불광동 400-6,노외 주차장,시간제 주차장,,152,유료,0,2400,0,2400,0,2400,무료,무료,70000,100,5,100,5,0,37.62387156,126.9242215
29,1051043,구파발역 공영주차장(시),은평구 진관동 66-30,노외 주차장,시간제 주차장,02-2290-6088,399,유료,0,2400,0,2400,0,2400,무료,무료,91000,170,5,170,5,,37.63800702,126.9193218
30,1052723,살곶이(평면) 공영주차장(구),성동구 사근동 104-0,노외 주차장,시간제 주차장,02-2204-7970,102,유료,0,2400,0,2400,0,2400,무료,무료,,50,5,50,5,,37.55384954,127.0482917
31,1052737,응봉역공영주차장(구),성동구 응봉동 3-11,노외 주차장,시간제 주차장,,64,무료,0,0,0,0,0,0,유료,유료,,,,,,,37.55039155,127.0344811
32,1052741,마장축산물시장(건물) 공영주차장(구),성동구 마장동 525-1,노외 주차장,시간제 주차장,02-2204-7970,117,유료,0,2400,0,2400,0,2400,무료,무료,120000,250,5,250,5,,37.571538,127.039926
33,1053712,볏골공원 지하공영주차장(구),강서구 화곡동 98-99,노외 주차장,시간제 주차장,02-2065-1575,231,유료,0,0,0,0,0,0,유료,유료,60000,1200,60,100,5,,37.54149243,126.844396
34,1056832,한누리(구),동작구 사당동 1046-1,노외 주차장,시간제 주차장,,45,유료,0,2400,0,2400,0,2400,무료,무료,100000,150,5,150,5,35000,37.47743578,126.9770784
35,1056834,동작주차공원(구),동작구 동작동 326-0,노외 주차장,시간제 주차장,,147,유료,0,2400,0,2400,0,2400,무료,무료,70000,100,5,100,5,,37.50309257,126.9782686
36,1059009,신사동 제1공영주차장(구),관악구 신림동 511-1,노외 주차장,시간제 + 거주자 주차장,02-2081-2675,41,유료,900,1900,900,1600,0,0,무료,무료,0,50,5,50,5,0,37.48444431,126.915461
37,1079122,길음역환승주차장(구),성북구 하월곡동 104-112,노외 주차장,시간제 주차장,02-6923-0023,147,유료,0,2400,0,2400,0,2400,무료,무료,120000,150,5,150,5,10000,37.60423761,127.0258183
